epoch,train_loss,val_loss,train_error_deg,val_error_deg
1,4.732112326188969,4.228438239045196,29.236802159338833,10.782605636051722
2,4.225812015476777,4.081443741557362,9.121769222418719,8.034985624035635
3,4.1292680247688365,4.051291596758497,7.977365010281207,7.36613348474782
4,4.089483309093949,4.037343997745723,7.184471412819985,7.140522967611915
5,4.0605290463660335,4.01844727233216,6.194968258763386,5.675161975153637
6,4.043900474469001,4.021029172100864,5.740248940838309,6.403877932175613
7,4.033499833703149,4.017177817585704,5.39696540534735,5.953216560363771
8,4.026498032515555,4.003592999426873,5.143252676307516,4.727856470307806
9,4.020456156640101,4.004517789463421,5.003098765524062,5.031524478705376
10,4.015570963034256,3.996988523923434,4.832951608531667,4.074350364984393
11,4.0094620100119185,3.991352039379078,4.489114479760364,3.5003646500634624
12,4.008655915009608,3.9987816695328595,4.565542908167096,4.43495492814836
13,4.009311237625952,4.008772421407175,4.622949003560831,4.888887093116951
14,4.01963916229595,4.005030891397497,5.442146949915614,4.946332592952818
15,4.009680393114523,3.9959984244881097,4.942554860628285,4.216504689305692
16,4.002242754263682,3.993283282269488,4.4169685243433,3.7877620518827606
17,3.9991105638907376,3.994429301167582,4.154770584929562,4.131893636783837
18,3.9970344999412157,3.9926395982176395,4.039771265427737,3.8224959553000915
19,3.9955118793092823,3.994832927054101,3.924676213998032,3.751670521247082
20,3.9948309338565577,3.9910905203976474,3.932034430660461,3.690192810759002
21,3.9929137786157587,3.9905850200862676,3.768713618037242,3.578663334755671
22,3.9923480449297557,3.9945633605286317,3.6339774808128613,3.965476562210056
23,3.9913233358597298,3.9913566484556093,3.624456008864903,3.5431189137640455
24,3.991890320157592,3.989701645714896,3.7461011964880435,3.2530032752250144
25,3.990378416226733,3.995929327639905,3.5592567327700384,4.065292126336596
26,3.990485332529915,3.9863454703446273,3.568268942771655,2.760862168617738
27,3.990491446129282,3.988610791636037,3.5695508898066532,3.215367855610428
28,3.9914618144585416,3.9891885946085166,3.7103820764445503,3.263363475041511
29,3.990537552943819,3.9916720683758076,3.6594028571227644,3.530196094820568
30,3.9892760343814047,3.9910217929672407,3.4635140954508756,3.5230512230736863
31,3.991152830447912,3.9950619425092424,3.6757874619212165,4.004610578526508
32,4.019152565344931,4.014357010348813,5.588131080965421,5.820024761440117
33,4.007133392966728,3.998300215438172,4.949142719917372,4.333908477129954
34,3.993115896156724,3.9886766480875537,3.887367078198848,3.2110514391898675
35,3.9896296264127065,3.9901999227293246,3.561049951210671,3.35437660020961
36,3.9882031747990223,3.9866861741621418,3.415252076517347,2.8432881308239457
37,3.987915671036512,3.9855782094892565,3.340435579221731,2.691462968099248
38,3.9880111401679517,3.9922226140787314,3.3593625257813247,3.4305991979990234
39,3.987010264547585,3.987757281418685,3.214658041248338,2.909610541397836
40,3.986372287260163,3.9845333125565077,3.1617221121012618,2.6046833743490145
41,3.987090662273845,3.9876464309273185,3.2245804556440816,2.905971396718269
42,3.9862157768433817,3.990590255863064,3.144986764410333,3.5401623584143405
43,3.985634674814656,3.986127787369948,3.0518879278029765,2.766661760692631
44,3.9860984818015415,3.9866063683897583,3.1349861997603097,2.7706638374175787
45,3.9859366355640238,3.987744619558146,3.103107509644194,2.8355077989669075
46,3.9856040473132768,3.987688061955211,3.0200074221020823,3.0168990552993056
47,3.9853868149399,3.9871503195919833,3.0531228982860763,2.8708011845075165
48,3.9857695021073094,3.9886897993611767,3.0587800488315984,3.131896430826012
49,3.985109100383684,3.9874179164131918,2.9977624977341253,2.7830445465884375
50,3.985075655194189,3.9864297201345256,2.9893554171298073,2.6269735826642515
51,3.985035198786018,3.985857444805103,2.9272124786095763,2.6591756691391217
52,3.9852756043303432,3.986633702162858,2.9743157347596108,2.7202745007818003
53,3.984733689125464,3.9887532108432646,2.9404517868687092,3.0600936970771895
54,3.9847180273255365,3.987999460723374,2.9200879799379527,3.050621329363448
55,3.9847374411458394,3.9882506800221873,2.929592602998518,3.0852300455840957
56,3.984281594093233,3.9867733509985954,2.8823121772592746,2.789224973096079
57,3.984024686940248,3.9840886708144305,2.845454873764812,2.416235091317705
58,3.983663454057018,3.9850598985022243,2.7373474648466667,2.5061694095335607
59,3.9840050158213005,3.9856353031409966,2.820488078310777,2.5938520809285364
60,3.9841234156703815,3.987544939020178,2.8328275668524134,2.857746451123293
61,3.9838820881751786,3.9866628741170023,2.7742182739170245,2.741563651916308
62,3.983589222935986,3.989507052662608,2.7539838013168048,3.071055019245917
63,3.9838813930622847,3.9872392303341035,2.7824088824345847,2.8499218704866403
64,3.983859183236681,3.9877140170925265,2.7817320973511093,2.6961218128727253
65,3.9832427713578715,3.9866472207582913,2.709330627434422,2.6566035597258875
66,3.9832818286392118,3.986261515564971,2.704518067836722,2.6283577802238
67,3.983254628100763,3.9866672594468673,2.689414553427601,2.7072575266431103
68,3.983167775270782,3.9872267419165306,2.639217726432019,2.70706454205775
69,3.9834027500704514,3.987434136212527,2.6455312062147405,2.762433913092037
70,3.9828353512735273,3.9874512410425877,2.616239026847686,2.6025285899892396
71,3.983134599730513,3.987154075077602,2.6177621669140634,2.760872100938371
72,3.98343888999664,3.9850691821548967,2.66659118764904,2.504109676671785
73,3.9827009916089944,3.986182662942907,2.572165169869379,2.518072083411854
74,3.9825914437696,3.98598439510052,2.582807047730664,2.649393460643161
75,3.98281855750124,3.9840393270765033,2.5917216876473717,2.3639998116931524
76,3.9827873552204363,3.984306318157322,2.544898126439759,2.222135517305507
77,3.982488552000368,3.9843442398113207,2.5347982504875715,2.262382690618326
78,3.9824704418593853,3.983755230641627,2.5325080585847775,2.154915358167864
79,3.982409781902093,3.9844992936312496,2.522262640154764,2.2472422139225428
80,3.9822886327704845,3.9867390580229705,2.4892155848628112,2.4141445567778184
81,3.982280968664968,3.9845791963430552,2.4689988413792667,2.2938039091166114
82,3.981581556598371,3.9850988854418743,2.4273280303052593,2.33137263301528
83,3.9817409347215835,3.984733681626372,2.456235475335057,2.304147040477165
84,3.981483150615724,3.9846498908577384,2.401935047914534,2.2637674065182063
85,3.9812428642960884,3.986283144584069,2.3574169387515234,2.4279108917372576
86,3.9813402087755283,3.984758216208154,2.3689095855289732,2.3350999612982886
87,3.9814146435733546,3.9848056384495325,2.4047376142439334,2.301462493288647
88,3.981226471563501,3.9845930408645462,2.36462326173041,2.295091998140454
89,3.981047909568715,3.9840011491880314,2.324724591429528,2.2170553356404707
90,3.981512940957124,3.9839943519005407,2.407909317621366,2.202193923062021
91,3.981339130640615,3.9835306943117916,2.3879896177570727,2.123823488011465
92,3.9813389104861128,3.983509090968541,2.3686141951473085,2.1274177671441663
93,3.9811834925875895,3.9836063641768233,2.3679136025168166,2.1524812158726077
94,3.98127165362441,3.9832781472048917,2.358936579046885,2.0750094295441013
95,3.9808573776122413,3.98336883691641,2.329313301710776,2.0996344863040983
96,3.98136912912473,3.983433305824196,2.3709756603052212,2.1054447502143434
97,3.981321550743045,3.983463028499058,2.3678983348190683,2.1118653040316517
98,3.9811338504268408,3.983608128474309,2.331057484083167,2.1269399526528603
99,3.9810897818894184,3.9836996136130867,2.342814077398462,2.1395572275329418
100,3.981407250626237,3.9836606004735926,2.3689899215386716,2.128727513528133
